title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
Someday,2006,2448148,Someday,kr,"1474184,0046277,2024084,1954290","Miles Meili,Bae Doona,Min-Joon Kim,Yun-a Oh",Drama,8.1,2006.0,tv series
Something About 1%,2003,771623,Something About 1%,kr,"0453553,1504868,1626041,3801528,3835611,1322404,1415741,2288497,1219733,1696157,2926187,2309978,1251951,2926961,1640227,2925763,1110374,2925717","Jeong-hwa Kim,Dong-won Gang,Hye-jin Han,Kyeong-jun Yeom,Kyeong-jun,Byun Hee-Bong,Yeo-jin Ha,Jeong-min Heo,Seong-min Kim,Ji-woo Kim,Min-Kyeong Kim,Hee-do Lee,Cheong Kim,Min-a Jeong,In-taek Jeon,Byeong-wook Lee,Mi-yeon Oh,Ji-hye Min","Comedy,Romance",7.3,2003.0,tv mini series
Something About 1 Percent,2016,6075098,Something About 1%,kr,"2291768,2360984,4925888,6715912,3854097,4656820","Ha Seok-jin,So-Min Jun,Hae-In Lee,Do-Yoon Im,Hyeong-min Kim,Sun-hyuk Kim","Comedy,Romance",7.7,2016.0,tv series
Something in the Rain,2018,8078816,Something in the Rain,kr,"1162030,6857187,10623873,0453385,7655595,11918824,9665672,9113439,1255001,3067749,9665673,2197560,9665675,2604920,6564367","Son Ye-jin,Jung Hae-In,Joo Min-Kyung,Kim Chang-wan,Jeong Eu-Gene,Yull Jang,Wi Ha-Joon,Joo-Young Lee,Jang So-yeon,Hyuk-kwon Park,Seo Jung-Yeon,Hae-yeon Kil,Jong-Seok Yun,Hwa-ryong Lee,Wonhyeong Jang","Drama,Romance",8.1,2018.0,tv series
Soul Mechanic,2020,12274220,Soul Mechanic,kr,"0793784,10623873,4746399,7826600,0661975,12330404,12546126,10072304,9368455","Shin Ha-kyun,Joo Min-Kyung,Jung So-Min,In-ho Tae,Park Yejin,Kim Kyeong-min,Jang Young-hyeon,Kim Hyeon-Ok,Woo Jin Kim","Comedy,Drama,Romance",7.8,2020.0,tv series
Special Affairs Team TEN,2011–13,2323034,Special Affairs Team TEN,kr,"3212895,1585711,1389976,6079248,0950912,3876070,3865114,4620303,5601908,8384648","Sang-uk Joo,Kim Sang-Ho,An Jo,Woo-sik Choi,Ji-hye Yun,Hae-in Kim,Bum-ho Choi,Kahlid Elijah Tapia,Son Jong-hak,Ian Park","Crime,Drama,Thriller",8.1,2011.0,tv series
Special Labor Inspector,2019,9894162,Special Labor Inspector Jo,kr,"1118612,12144777,4306654,10353488,11072055,10908350,9067239,3789450,9767635,9009367,1165906,3333611,2011387,5247820,0814289","Dong-wook Kim,Kim Ju-Young,Hyeok-soo Kwon,Joel Roberts,Hye-Yeon Shim,Yoo Su-bin,Seol In-ah,Hong-pa Kim,Kim Kyung-Nam,Na-Yoon Lee,Won-jong Lee,Dae-hwan Oh,Deok-Hwan Ryu,Park Se-young,Song Wok-suk","Comedy,Drama",7.6,2019.0,tv series
Splash Splash Love,2015,5290026,Splash Splash Love,kr,"5682738,5262151,8044332,8044334","Seul-gi Kim,Doo-Joon Yoon,Ahn Hyo-Seop,Ki-joo Jin","Fantasy,History,Romance",7.8,2015.0,tv mini series
Splendid Politics,2015,4613620,Splendid Politics,kr,"4990643,10843801,8044330,0149226,2165232,1530177,1215809,3049976,4733786,0453385,4579997,6720156,4358725,6324813,1615589,1945913,1443295,1520129,6940577,1059154,1081518,0453735","Tae-Ri Lee,Chani,Joon-hee Song,Seung-Won Cha,Yeon-hee Lee,Jae-won Kim,Sung-Hyun Baek,Eom Hyo-Seob,Min-seo Kim,Kim Chang-wan,Jong-hwan Choi,Ahn Do-Gyoo,Joo-wan Han,Seo Kang-Joon,Seung-wook Kim,Eun-Jeong Sin,Jo Sung-ha,Lee Sung-min,Lee Tae-Hwan,Park Won-Sang,Jeong Woong-in,Kim Yeo-jin","Drama,Romance",7.7,2015.0,tv series
Spotlight,2008,6284106,Spotlight,kr,"1918588,1097536,1464070,1162030,4307485","Jin Goo,Jin-hee Ji,Yun-hie Jo,Son Ye-jin,Jung-min Park",Drama,7.6,2008.0,tv series
Spring Day,2005,843176,Spring Days,kr,"2339907,1097536,1251770,0359158,2086949,2470989,1903390,3674008,2349707,1452474,1059148,3674440,3674349,2350929","Hyun-Jung Go,Jin-hee Ji,In-Sung Jo,Go Eun Han,Yong Jang,Jong-jun Jeong,Hwi-Hyang Lee,Hyun-Woo Lee,Kyung-jin Lee,So-yeon Lee,Cheol-min Park,Beom-Yeol Seo,Wang-Seok Seo,Chung-sik Sin",Romance,7.7,2005.0,tv series
Spring Turns to Spring,2019,9537172,Spring Must Be Coming,kr,"1642097,1392076,7219340,10353488,7609313,9482213,3758065,10226644,2410400,1508045,10369681,10369680,8023455,3730330,4654677","Yu-ri Lee,Ji-won Uhm,Carson Allen,Joel Roberts,Se-ha Ahn,Byung Mo Choi,Tae-hee Heo,Jung-Pal Kim,Kim Kwang-gyu,Jong-Hyuk Lee,Jung-Woo Lee,Seo-Yeon Lee,Mi-Ram,Eun-seo Son,Oh Yeong-Sil","Drama,Fantasy",7.1,2019.0,tv series
Spy,2015,3079380,Spy,,,,,,,
Spy Myung-wol,2011,5120734,Spy Myung-wol,kr,"2075130,2319677,2353702,0600604,11072080,1065825,3663953,2293535,1465335,1695001,3730330","Ye-seul Han,Jang Hie-jin,Lee Jin-Wook,Eric Moon,Song-a Yoon,Lee Deok-hwa,Ha-Kyun Kim,Byung-Joon Lee,Hyeon-suk Park,Shin Seung-hwan,Eun-seo Son","Comedy,Romance",6.9,2011.0,tv series
Squad 38,2016,5536856,Squad 38,kr,"0014215,0814289,3011350,5364609,3210659,8575756,3333611,3242530,8471266,9242566,2536476,6940207,1507995","Ahn Nae-sang,Song Wok-suk,Ma Dong-seok,Seo In-Guk,Sooyoung Choi,Sun-Bin Lee,Dae-hwan Oh,Go Gyu-pil,Jae-Ho Heo,Kim Joo-Heon,Oh Man-seok,Hak-joo Lee,Byeong-chun Kim","Comedy,Crime,Drama",7.9,2016.0,tv series
Squid Game,2021,10919420,Squid Game,kr,"0497631,7676537,9665672,9475707,1601080,8002676,1059827,4467500,1230598,6757627,12294932,2494806,1478697,0454079,4559922,8384321,4340724,4460678,0496932,1508003,10462085,5993464,12453068,12978995,10224068,12978799,7686174,12955622,3874590,1087637,5899942,8404870,12978994,3673907,10693419,12981998,10224061,12978996,3342831,12981920,12978834,10955236,11037388,13039918,0321325,12955620,6424848,11772494,2965320,6066464","Lee Jung-jae,Park Hae-soo,Wi Ha-Joon,Jung Hoyeon,Greg Chun,Stephen Fu,Tom Choi,Rama Vallury,Oh Yeong-su,Heo Sung-tae,Anupam Tripathi,Kim Joo-Ryung,Paul Nakauchi,Hideo Kimura,Stephanie Komure,Vivian Lu,Halley Kim,Donald Chang,Lee Byung-hun,Gong Yoo,Seong-ju Yoo,Kwak Ja-hyoung,Lim Ki-Hong,Kim Si-Hyun,Yoon Young-Kyun,Kim Dong-Won,Lee Yoo-mi,Nathan Yi,Yuuki Luna,Kim Young-ok,Hye-jin Park,Brian Kim,Christian Lagahit,Sang-hee Lee,Yang Mal-bok,Moon Byung-Joo,Kim Yun-Tae,Kim Dong-Hyun,Seung-Hoon Yoon,Moon Jung-Dae,Yoon Don-Sun,Daniel C Kennedy,John D. Michaels,Stephane Mot,Geoffrey Giuliano,Raymond Lee,Eugene Young,Michael Davis,Jully Lee,Jennifer Yun","Action,Drama,Mystery,Thriller",8.1,2021.0,tv mini series
Stained Glass,2004–05,499286,Stained Glass,kr,"6327190,1233195,1372796,1954396,1312428,0497252,1784527","Ha-neul Kim,Dong-geon Lee,Seong-su Kim,Yi-jin Jo,Se-a Kim,Eung-Kyung Lee,Ji-ho Shim",Drama,7.3,2004.0,tv series
Stairway to Heaven,2003–04,457542,Stairway to Heaven,,"8218140,1085861,0158830,0793790,1454896,1065383,1903390","Ha Jae-Young,Sang-Woo Kwon,Choi Ji-woo,Hyeon-jun Shin,Kim Tae-hee,Jae-yeong Ha,Hwi-Hyang Lee",Romance,7.9,2003.0,tv series
Standby,2012,5890956,Standby,kr,"3853513,5474917,3514551,2263791,5963347,1305598,1615673,2291768,4746399,3692726,5289372,4933438","Jung-woo Choi,Simon Dominic,Park Joon-geum,Claudia Kim,Go Kyung-Pyo,Ki-woo Lee,Jin Ryu,Ha Seok-jin,Jung So-Min,Kim Ye-Won,Si-wan Yim,So-young Yoo",Comedy,7.2,2012.0,tv series
Star in My Heart,1997,280243,Star in My Heart,kr,"0014210,0150925,0158836,0161133,1166860,1106071,1548540,4172473,1136670,1694270","Jae-wook Ahn,In-Pyo Cha,Jin-shil Choi,Jeon Do-yeon,Cheol Park,Won-suk Park,Mi-ryeong Cho,Seung-Yeon Han,Nam-kil Kang,Sang-hun Maeng",Romance,7.4,1997.0,tv series
Stars Falling from the Sky,2010,3246568,Stars Falling from the Sky,kr,"3093524,1594540,1439043,3753115,4929314,3050595,0453588,3629038,1058814,1465335","Jeong-won Choi,Park Ji-bin,Jung Ae-ri,Bo-geun Cheon,Lee Doo Il,Kim Ji-hoon,Kyu-chul Kim,Kyun Lee,Soon-jae Lee,Hyeon-suk Park","Drama,Romance",7.5,2010.0,tv series
Start-Up,2020,12867810,Start-Up,kr,"7108248,7632185,9170918,6019624,10908350,1390122,10164686,7989106,7335184,1022228,10215505,2082531,3343883,3787759,6314118,3049976,12058767,8573637,12058768,12014539,4704907,9242566,8953986,6981914,11560328,6903064,3245444,4589016,12546126,2493683","Bae Suzy,Nam Joo-Hyuk,Kim Seon-Ho,Kang Han-na,Yoo Su-bin,Kim Hae-sook,Kim Do-Wan,Jasper Cho,Stephanie Lee,Song Seon-mi,Kim Min-Seok,Yeo Jin-gu,Kim Hee-Jung,Kim Won-Hae,Seo Yi-Sook,Eom Hyo-Seob,Kang You-Seok,Jung-eun Heo,Joo Bo-Young,Moon Dong-Hyeok,Nam Da-reum,Kim Joo-Heon,Kang-Hoon Kim,Se-Hyun Jang,Bae Bo-ram,Re Lee,Ji-ae Jeon,Se-yoon Moon,Jang Young-hyeon,Choong-seon Park","Comedy,Drama,Romance",8.1,2020.0,tv series
Star's Echo,2004,10841802,Star's Echo,kr,"2151545,3294000,1763620,3768118,0475917,1650153,0849477","Lee Da-hae,Jo Jae-yoon,Lee Joon-Gi,Yong-hee Kim,Tomoka Kurotani,Noriko Nakagoshi,Shôsuke Tanihara","Drama,Romance",,2004.0,tv mini series
Star's Lover,2008–09,5476108,Star's Lover,kr,"0158830,0949167,1305598,1981744,1419430,3291520,3593038,6057089,3789806,1049304,3590444,4725090,1048199,1065711,4929000,3757273,0839293,0945994","Choi Ji-woo,Yoo Ji-Tae,Ki-woo Lee,Ye-ryeon Cha,Hyo-jeong Ban,Park Bo-Young,Phillip Choi,Shim Eun-Jin,Lee Joon-hyuk,Yun Ju-sang,Da-bin Jung,Tae-young Ki,Jee-Young Kim,Ye-ryeong Kim,Hyun Hwa Kwak,Seung-hyeong Lee,Ji-ru Sung,Hee-kyung Yang","Drama,Romance",6.7,2008.0,tv series
Steal Heart,2014,6794548,Steal My Heart Away,us,"8929072,8929070,8931041,8763607,8930939,8931043,8931044,8931045,8931046,8931047,8930944,8930943,8930942,8931051,8931052,8931053,8931054,8929116,8931055,8931056,8931057,8931058,8931059,8931060","Ryne Bolick,Kali Bolick,Cole Campbell,Kiley Gilbride,Gia Herold,Annika Hibner,Jack Hibner,Cooper Jensen,McKinley Johnston,Gabrielle Lee,Ameerah Navalua,Charlie Navalua,Jamileh Navalua,Liliana Nemecek,Mia Page,Ethan Pouttu-Clarke,Elora Scamardo,Logan Schayes,Jodaci Schimmelmann,Midori Schimmelmann,Julian Thomas,Frank Williams,Lexi Wussow,Tiaa Pouttu-Clarke","Short,Comedy",,2014.0,movie
Still 17,2018,8648696,Still 17,kr,"7553004,8692190,8044332,1050757,9946376,7655595,8468703,6105039,3289773,7676539,8119758,7052088,11752718","Hye-Sun Shin,Yang Se-Jong,Ahn Hyo-Seop,Ji-won Ye,Lee Do-Hyun,Jeong Eu-Gene,Hyun-Shik Jo,Ji-won Wang,Seok-Hyeon Wang,Chan-Young Yoon,Sun-Woo Yoon,Daniel Joey Albright,Seo Yoon-Hyuk","Comedy,Romance",7.8,2018.0,tv series
Still You,2012,2392407,Still Young,us,"2724031,3083674,3591771,2150668,4114068,4078196,3690375,2092835,4347092,3225200","Natalie Chmiel,Zack Conroy,Cameron Klippsten,Amanda MacLachlan,Shawn Maguire,Andrew Gray McDonnell,Matt Militano,Tom Payne,Katie Ryan,Bethany Webb","Short,Drama,Romance",,2012.0,movie
Stranger,2017–present,6461346,Stranger,kr,"0158648,0046277,3789806,3482978,3704237,1938960,10132453,7996229,11795456,7691811,7553004,2246822,11240659,11918824,4298865,6914446,9873914,0497710,1508309,1279940,9420714,1627866,0497398,11875169,10562564,10300573,9482213,1235290,11875170,1884875,4901856,1596078,7611358,11592668,4561627,11101963,11873513,8028675,10711076,7826600,5328080,3049976,11408440,1727918,12327674,11846505,3674191,12037065,9822601,1276942","Cho Seung-woo,Bae Doona,Lee Joon-hyuk,Jeon Bae-soo,Jae-woong Choi,Yun Se-ah,Ji-Ho Song,Park Sung-Geun,Yoon Jong-In,Yoo Jae-myung,Hye-Sun Shin,Hye-jin Jeon,Tae-Hyung Lee,Yull Jang,Moo-Seong Choi,Kyoo-hyung Lee,So-Ra Kim,Lee Kyung-young,Dong-won Seo,Yeong-jae Kim,Lee Hae-Young,Park Jin-Woo,Ho-jae Lee,Yoon Seul,Sung-Il Jung,Yoo-na Park,Byung Mo Choi,Hak-seon Kim,Kim Ji-Hoon,Soo-jung Ye,Jung Dong-geun,Seung-gil Jeong,Jang Sung-Bum,Ji-Hoon Kim,Hee-Seo Choi,Chang Ryul,Park Ji-Yeon,Ha-yul Lee,Lee Hyun Kyun,In-ho Tae,Nam Gi-Ae,Eom Hyo-Seob,Im Chul-soo,Seo Jin-won,Kim Bum-Soo,Oh Kyung-Joo,Seong-kwang Ha,Seong-rok Ryu,Lee Gasub,Mi-hyeon Park","Crime,Drama,Mystery,Thriller",8.5,2017.0,tv series
Strangers 6,2012,1856523,Strangers 6,,,,,,,
Strong Girl Bong-soon,2017,6263222,Strong Girl Bong-soon,kr,"3291520,6027947,6887673,5874950,7691811,3787759,1085945,0793536,1310386,7963683,9371493,9371497,3726459,10970466,6137758,10970464,9371492,10970465,9067239,9068278,5877766,10970434,8052257,4928488,8058209,8051720,4628340,9371494,8125152,3859207,3295014,3411359,10974296,10974295,5484744,9371498,2713055,10970435,7362709,10213593,8104413,2341244,10096861,10987680,9106801,9371499,10984169,10982434,10982802,8930034","Park Bo-Young,Park Hyung-Sik,Ji Soo,Jun Suk-ho,Yoo Jae-myung,Kim Won-Hae,Im Won-hee,Shim Hye-jin,Kim Min-kyo,Ahn Woo-yeon,Choi Moo-in,Kim Mi-hwa,Oh Soon-tae,Kim Won-suk,Kim Soo-yun,Yang Zu-ho,Park Bo-mi,Choi Hyung,Seol In-ah,Jang Mi-kwan,Kim Young-choon,Hong Ye-ri,Kim Ki-moo,Yoon Ye-hee,Hyun-seo Choi,Choi Young-Shin,Hoon-ki Shim,In-soo Yoo,Jung-Gook Han,Ji-young Kang,Sung-bum Kim,Min Ji-Hyun,Se-Wook Lee,Young-joo Yoon,Baek Su-Ryun,Hyuk-soo Kwon,Cheol-min Lee,Ah-rin Oh,Bi Shin,Won-Joon Kim,Won-Geun Song,Yoon Sang-Hyun,Ahn Chang-hwan,Sang Lee,Seung-Hoon Choi,Min-young Choi,Sung-kyu Jang,Won-hyo Kim,Chan-min Jung,Clara","Comedy,Crime,Drama,Fantasy,Romance,Sci-Fi",8.2,2017.0,tv series
Strongest Chil Woo,2008,3211198,Strongest Chil Woo,kr,"0600604,3316287,2584860,3780555,1058832,1087637,1194109,2458675,1109919,9415025,3759582,1695001,3857053,1040397,3871253,2489970,3675284,3853513,8022819,4615335,3789072,0453588,2403072,3857784,1962664,2947541,3757273,4735098,3746728,3291520,9418199,1065828,3781916,3758065,6617623,9418200,3668060,5586310,3482924,3852833,7238560,1040396,3746868,3483022,2135094,3883232,1560357,2589443,2440234,1435683","Eric Moon,Ku Hye-Sun,Yoo Ah-in,No-min Jeon,Ha-ryong Lim,Kim Young-ok,Ran Choi,Joon-yeong Jang,Hyeok Lim,Yong-tae Song,Jin Jung,Shin Seung-hwan,Eon Lee,Won-joong Jung,Jun-seo Park,Song Ha-Yoon,Kwang-eop Son,Jung-woo Choi,Young-Bin Jeon,Byungchan Kim,Myung-Ryul Nam,Kyu-chul Kim,Sung-jin Nam,Min-geum Choi,Il-woo Nam,Su-han Choi,Seung-hyeong Lee,Sun-hye Yoon,Yong-gi Park,Park Bo-Young,Ho-Young Kim,Ho-sung Lee,Seung-hyo Lee,Tae-hee Heo,Cha Soon-bae,Jeong-eun Yoon,Jeong-min Ko,Joo-Young Kim,Jae-dol Cha,Ji-eun Lee,Ji-wan Lee,Seok-yong Jeong,Joon-hyeon Min,Jae-seong Hong,Kwon Tae-won,Seung-beom Hong,Sook-hee Hyun,Won-ju Moon,Woo Hyeon,Tae-il Han","Action,Drama,History",7.0,2008.0,tv series
Strongest Deliveryman,2017,7022748,Strongest Deliveryman,kr,"5963347,7938555,10208095,6718695,10215503,1559465,10215504,1563589,3769453,1102678,1165906,10215505,10215501,8429633,9170918,6914447,1884875,10215508,9767635,5877767,7052088,8468703","Go Kyung-Pyo,Kang Bong-Sung,Sun Woo Jae Duk,Won-Hee Go,Heo Ji-Won,Hie-bong Jo,Ik-han Jung,Lee Kan-Hee,Gi-du Kim,Hye-ri Kim,Won-jong Lee,Kim Min-Seok,Lee Min-Young,Ji-Hyun Nam,Kim Seon-Ho,Chae Soo-bin,Soo-jung Ye,Yoon Jung-Il,Kim Kyung-Nam,Joo-hyung Park,Daniel Joey Albright,Hyun-Shik Jo","Drama,Romance",7.3,2017.0,tv series
Successful Story of a Bright Girl,2002,396350,Successful Story of a Bright Girl,kr,"1030267,1339153,1671140,1675739","Jang Hyuk,Jang Na-ra,Ja-Hyeon Chu,Eun-jeong Han",Drama,8.0,2002.0,tv series
Suits,2018,8084058,Syucheu,kr,"0417520,6027947,0423080,1333445,3780600,5680859,1884875,9948498,6461225,6994660,2604327,1067147,3830421,3889848,12890510,6524391,1218692,12890509,8733483,12890757,12474767,3718514,12890794,12890795,5294517,4535657,12890832,11545066,12890833,10974296,12890517,11623234,12890834,12890835,1679797,7027783","Jang Dong-Gun,Park Hyung-Sik,Hee-kyung Jin,Jeong-an Chae,Gwi-hwa Choi,Ko Sung-hee,Soo-jung Ye,Sang-yi Lee,Yu-hwa Choi,Si-won Lee,J.Y. Park,Kim Jong-goo,Seol-gu Lee,Dong-gap Seo,Jong-Woo Jung,Yi-Kyeong Lee,Cheol Lee,Juha Yu,Sang-hee Baek,Da-Yeon Goo,Lee Jae-Eun,Kim Jeong-pal,Woong Heo,Hyeon-Jeong Kang,Hwang Tae-kwang,Jong-soo Kim,Jeong-Jun Seo,Kim Tae-yeon,Min-Sung Kim,Se-Wook Lee,Nam-Hee Cho,Son Dong-hwa,Yong-Mu Park,Yoo-Geun Jeong,Shin-yeong Jang,Sukku Son","Crime,Drama,Thriller",7.4,2018.0,tv series
Sungkyunkwan Scandal,2010,2745682,Sungkyunkwan Scandal,kr,"2241337,3411574,2584860,3609366,0453448,1191894,1443295,6003343,3675452,6010859,9421211,0014215,3663953,1087168,3746954,6981914,8454906,9421214,1115894,4733786,9421215,7955706,3773592,9421213,2489463,9421216,9421217,2410400,9421648,0453605,9421212,9424633,1997077,4990643,1059148,3411948,3789139,3075582,0497426,1165906,3750252,6010861,5690165,7238558,3727194,3789072,8051891","Park Min-Young,Yu Chun Park,Yoo Ah-in,Song Joong-ki,Kim Kap-su,Jae-yong Lee,Jo Sung-ha,Tae Soo Jun,Seong-pil Kang,Nam-Hyuk Ji,Byeong-Chan Chae,Ahn Nae-sang,Ha-Kyun Kim,Yeong-bae Kim,Seo Hyo-Rim,Se-Hyun Jang,Chan-woo Hwang,Ah-Sung Ju,Jung-kyun Kim,Min-seo Kim,Young-pil Im,Geun-soo Park,Dam Ryu,Hyun-ju Seong,Ik-tae Kim,Yun-Jeong Im,Ha-Yoon Jeong,Kim Kwang-gyu,Dong-Joon Choi,Kim Mi-Kyung,Min-jae Ha,Na-mi Oh,Dong-bin Park,Tae-Ri Lee,Cheol-min Park,In-beom Ko,Ji-yun Seol,Dal-Hyeong Lee,In Lee,Won-jong Lee,Jae-ho Baek,Beom-Joon Yoon,Dan-Yool Kim,Bo-Yong Eom,Joon-seo Bang,Myung-Ryul Nam,Jin-seo Park","Comedy,Drama,History,Romance",7.8,2010.0,tv series
Sunlight Pours Down,2004,843196,Shining Days,kr,"2559633,1045034,1046845,1450227,2354456,1507995,1120335,2351099,0753486,1120328,1138201","Young-yu Lee,Yu-jeong Choi,Song Hye-Kyo,Hyeon-jae Jo,Ha-na Jung,Byeong-chun Kim,Jeong-hak Kim,Dae-gyoo Oh,Ryoo Seung-bum,Kang Shin-il,Jae-ho Song",Romance,5.6,2004.0,tv series
Sunny Again Tomorrow,2018,8409596,Sunny Days,kr,"3779956,9367546,8119756,1969477,0793536,9067239,0420082,9304430,4276007,1553194,5787710,1030525,8117848","Seung-hee Baek,Yoon Bok-in,Wan-Jung Choi,Seung-Ri Ha,Shim Hye-jin,Seol In-ah,Su-Won Ji,Jin Ju-hyeong,Chang Wook Lee,Neung-mi Nam,Hyun-chul Seo,Kim Myeong Su,Hyun-Joo Yoo",Drama,8.1,2018.0,tv series
Super Daddy Yeol,2015,5120616,Super Daddy Yeol,kr,"1233195,1642097,6903064,5866935,7658524,1563289,5357038,1136670,1092665,0497362,0453605,5877767,3630148,3729673,6134380","Dong-geon Lee,Yu-ri Lee,Re Lee,Dae-chul Choi,Kwon-soo Choi,Min Choi,Jang Gwang,Nam-kil Kang,Hye-na Kim,Han-wi Lee,Kim Mi-Kyung,Joo-hyung Park,Jun-Yeong Seo,Byoung-Sook Sung,Seo Ye-Ji","Comedy,Drama,Romance",7.5,2015.0,tv series
Super Rookie,2005,883870,Super Rookie,kr,"1508692,1452474,0600604,0644885","Ga-in Han,So-yeon Lee,Eric Moon,Ji-Ho Oh",Drama,8.0,2005.0,tv mini series
Surgeon Bong Dal-hee,2007,3364834,Surgeon Bong Dal-hee,kr,"1030827,1045934,2024084,1954290,10336756,3663959,1973925,1390122,1049968,1615589,1688117,0661886,3755484","Yo-won Lee,Beom-su Lee,Min-Joon Kim,Yun-a Oh,Julia Lim,Seung Hyun Baek,Yeo-jin Choi,Kim Hae-sook,Kim In-kwon,Seung-wook Kim,Ki-yeol Lee,Geun-hyeong Park,Jong-ho Song",Drama,7.4,2007.0,tv series
Suspicious Partner,2017,6720154,Suspicious Partner,kr,"3865611,2305471,5032208,8889745,5901828,3692726,1065825,9304430,6955562,8745617,9180058,4855119,11516735,7254989,7995981","Ji Chang-Wook,Nam Ji-Hyun,Choi Tae-Joon,Nara,Jang Hyuk-jin,Kim Ye-Won,Lee Deok-hwa,Jin Ju-hyeong,Ha Dong,Kim Ye-June,Park Gyuyoung,Hwang Chan-sung,Oh Han-kyul,Lee Shi-Ah,Kim Soo-Oh","Comedy,Crime,Romance",7.9,2017.0,tv series
Swallow the Sun,2009,1567718,Swallow the Sun,kr,"1525930,2559633,3011350,3730812,1292880,1045680,3731191,2604899,2179436,1552017,1587225,0948588","Glenn Heath,Young-yu Lee,Ma Dong-seok,Ji-yun Han,Seong Ji,Kwang-ryul Jun,Sae Rom Kim,Tae-jung Kim,Wan Lee,Yi-hyeon So,Yu-ri Sung,Oh-seong Yu",Drama,7.7,2009.0,tv series
Sweet 18,2004,499174,Sweet 18,kr,"1973031,1390122,1058814,1041998,2151545,1623740,1233195","Jung Kyung-ho,Kim Hae-sook,Soon-jae Lee,Hye-jeong Yu,Lee Da-hae,Ji-hye Han,Dong-geon Lee","Comedy,Romance",6.9,2004.0,tv series
Sweet Buns,2004–05,6201830,Sweet Buns,kr,"6034292,2987726,1235558,0158763,1138201,1494129,1195120,1190610,1357269,0661888,3675654","So-Young Jung,Shim Eun-kyung,Yoo Seung-ho,Kang-hee Choi,Jae-ho Song,Hyeon-kyeong Ryu,Na-woon Kim,Kwang-hyeon Park,Chan Jung,Kwang-jung Park,Ji-wan Kim","Drama,Romance",7.6,2004.0,tv series
Sweet Enemy,2017,7090762,Sweet Enemy,kr,"1031871,8119803,2489485,2283722,3343883,0496894,7161989","Eun-hye Park,Tae-In Park,Geon Yu,Ja Hye Choi,Kim Hee-Jung,Bo-Hee Lee,Chung-mi Lee",Drama,,2017.0,tv series
Sweet Home,2020,11612120,Sweet Home,kr,"8853855,2353702,3315713,9946376,9257848,9180058,10893291,2494402,12168735,12168737,3343883,4559922,1478697,1692978,0943156,3979780,2932167,0455058,0556070,4354950,7095498,5246834,3947216,6345875,8486844,0502986,3524780,2329599,2048669,10955564,4099032,6730012,1216120,2303066,12171626,9500916,3137096,6080777,9083195,1836883,12171627,3625283,12171625,11153470,1585711,6844249,9513217,10827603,10072304,10442995","Song Kang,Lee Jin-Wook,Lee Si-young,Lee Do-Hyun,Go Min-Si,Park Gyuyoung,Kim Guk-Hee,Woo Jung-Kook,Su-Hyung Im,Lee Joon-Woo,Kim Hee-Jung,Stephanie Komure,Paul Nakauchi,Keong Sim,Ping Wu,Victoria Grace,George Tsai,Matthew Yang King,Tohoru Masamune,Nicole Fong,Jenny Yokobori,Ivan Mok,Harrison Xu,Michelle Mao,Darren Keilan,Page Leong,Chase Yi,Jeannie Bolet,Arnold Chun,Ji-young Yoo,Remington Hoffman,Kristina Ho,Feodor Chin,Michael Shen,Yuzu Harada,Margaret Hsian,Bobo Chang,Reuben Uy,Brandon Win,Milia Mae,Carter Chee,Kotaro Watanabe,Lance Kim,Kim Nam-Hee,Kim Sang-Ho,Jeong Ha-dam,Yool Heo,Go Choi,Kim Hyeon-Ok,Go Yoon-Jung","Drama,Fantasy,Horror,Thriller",7.4,2020.0,tv series
"Sweet Home, Sweet Honey",2015–16,8421804,"Sweet Home, Sweet Honey",kr,"5866935,0158860,3673262,3666111,2953322,2291700,0453747,7400175,1081716,9113246,8623617,6105318,3586587,3067572","Dae-chul Choi,Myeong-Gil Choi,Su-rin Choi,Da-Yeong Ju,Min-soo Kim,Yong-rim Kim,Yu-seok Kim,Jae-Joon Lee,Yeong-ha Lee,Yi-An Seo,Ji-eun Song,Hoon Min Yeo,Hye-ri Yoo,Yeon-mi Yoo",Drama,,2015.0,tv series
Sweet Munchies,2020,12401208,Sweet Munchies,kr,"3015991,3859207,6940207,11683516,11421137,1111680,10506447,9721970,11683311,3797360,1486994,1233008,9371499","Il-Woo Jung,Ji-young Kang,Hak-joo Lee,Yang Dae-Hyeok,Min-Jung Gong,Seung-su Kim,Sung Joon Park,Soo-jin Kim,Choi Jae-Hyeon,Man-Suk Oh,Hyun-Sung Jang,Kim Jeong-yeong,Min-young Choi","Comedy,Drama,Romance",7.0,2020.0,tv series
Sweet Revenge,2017–18,9552278,Sweet Revenge,kr,"3673821,10108072,9532824,5702375,0839293,3676100,10222846,6007240,1255082,8258018,5324619,10507723,8277204,10624127,7144013","Seo-hyun Ahn,Min-Hyuk Ji,Samuel Kim,Ji-young Kim,Ji-ru Sung,Hyang-gi Kim,Park Solomon,Hwan-hee Kim,Mi-seon Park,Cha Eun-Woo,Song Soo Hyun,da-Eun Jung,So-hee Kim,Ji-Hyun Lee,Park Seo-yeon","Comedy,Fantasy,Mystery,Romance",7.3,2017.0,tv mini series
